iter	Passed	Remaining
0	135	40543
1	137	20417
2	138	13692
3	139	10334
4	141	8322
5	142	6985
6	144	6032
7	145	5324
8	147	4761
9	148	4317
10	150	3960
11	152	3665
12	154	3413
13	156	3196
14	158	3009
15	160	2841
16	162	2699
17	164	2571
18	166	2461
19	168	2364
20	171	2271
21	172	2184
22	174	2099
23	176	2025
24	177	1955
25	179	1893
26	181	1834
27	183	1777
28	184	1724
29	186	1678
30	189	1640
31	191	1599
32	192	1560
33	194	1523
34	196	1489
35	198	1456
36	200	1425
37	202	1397
38	204	1371
39	207	1345
40	208	1319
41	210	1293
42	212	1267
43	213	1244
44	215	1222
45	217	1200
46	219	1179
47	220	1158
48	222	1138
49	223	1119
50	225	1101
51	227	1083
52	228	1066
53	230	1048
54	231	1032
55	233	1017
56	235	1003
57	236	988
58	238	975
59	241	964
60	243	952
61	245	940
62	246	927
63	248	915
64	249	902
65	251	890
66	252	879
67	254	868
68	256	858
69	258	847
70	259	838
71	261	828
72	263	818
73	265	809
74	266	800
75	268	790
76	269	781
77	271	773
78	273	765
79	275	757
80	277	750
81	279	744
82	281	736
83	283	728
84	285	721
85	286	713
86	288	705
87	289	698
88	291	690
89	292	683
90	294	676
91	296	669
92	297	662
93	299	656
94	301	649
95	302	642
96	303	636
97	305	629
98	307	623
99	308	617
100	310	611
101	312	606
102	314	601
103	316	595
104	318	590
105	319	584
106	321	579
107	322	573
108	324	568
109	325	562
110	327	557
111	329	552
112	330	547
113	332	542
114	334	537
115	335	532
116	337	528
117	339	523
118	340	518
119	342	513
120	343	508
121	345	504
122	347	499
123	349	495
124	351	491
125	353	487
126	354	483
127	356	479
128	358	474
129	359	470
130	361	466
131	362	461
132	364	457
133	365	453
134	367	448
135	368	444
136	370	440
137	371	436
138	373	432
139	375	428
140	376	424
141	378	420
142	380	417
143	381	413
144	383	409
145	384	406
146	386	402
147	389	399
148	391	396
149	392	392
150	394	389
151	396	385
152	397	382
153	399	378
154	400	374
155	402	371
156	404	368
157	406	364
158	407	361
159	409	358
160	411	355
161	413	351
162	414	348
163	416	345
164	418	342
165	420	339
166	421	335
167	423	333
168	425	330
169	427	327
170	429	323
171	431	320
172	432	317
173	434	314
174	436	311
175	437	308
176	439	305
177	441	302
178	442	299
179	444	296
180	446	293
181	448	290
182	450	287
183	451	284
184	453	281
185	455	279
186	456	276
187	458	273
188	460	270
189	463	268
190	465	265
191	467	262
192	469	260
193	471	257
194	472	254
195	474	251
196	476	248
197	477	246
198	479	243
199	481	240
200	483	237
201	484	235
202	486	232
203	488	229
204	490	227
205	491	224
206	493	221
207	495	219
208	497	216
209	499	214
210	501	211
211	503	208
212	505	206
213	506	203
214	508	201
215	510	198
216	512	195
217	513	193
218	515	190
219	517	188
220	518	185
221	520	182
222	522	180
223	523	177
224	525	175
225	526	172
226	528	169
227	530	167
228	531	164
229	533	162
230	536	160
231	538	157
232	539	155
233	541	152
234	543	150
235	544	147
236	546	145
237	548	142
238	549	140
239	551	137
240	553	135
241	554	132
242	556	130
243	558	128
244	559	125
245	561	123
246	563	120
247	564	118
248	566	116
249	567	113
250	569	111
251	571	108
252	572	106
253	574	104
254	591	104
255	593	101
256	594	99
257	595	97
258	597	94
259	598	92
260	600	89
261	601	87
262	603	84
263	604	82
264	605	79
265	607	77
266	608	75
267	610	72
268	611	70
269	613	68
270	615	65
271	616	63
272	617	61
273	619	58
274	621	56
275	622	54
276	624	51
277	625	49
278	627	47
279	628	44
280	630	42
281	631	40
282	633	38
283	634	35
284	636	33
285	638	31
286	639	28
287	641	26
288	642	24
289	644	22
290	645	19
291	647	17
292	649	15
293	650	13
294	652	11
295	654	8
296	655	6
297	657	4
298	659	2
299	660	0
